name,price,description,category,image_url,rating,stock_quantity,discount
Product 1,126.07,High quality and durable,Books,https://picsum.photos/300?random=1,2.1,33,0
Product 2,786.13,Perfect for everyday use,Home & Kitchen,https://picsum.photos/300?random=2,2.8,26,5
Product 3,906.93,Designed for comfort and performance,Home & Kitchen,https://picsum.photos/300?random=3,3.1,74,10
Product 4,482.7,A must-have tech gadget,Health & Beauty,https://picsum.photos/300?random=4,2.9,60,15
Product 5,501.0,Enhances your experience with cutting-edge features,Health & Beauty,https://picsum.photos/300?random=5,4.1,66,10
Product 6,493.51,High quality and durable,Books,https://picsum.photos/300?random=6,4.4,62,20
Product 7,991.29,Perfect for everyday use,Home & Kitchen,https://picsum.photos/300?random=7,2.9,19,0
Product 8,194.19,Designed for comfort and performance,Clothing,https://picsum.photos/300?random=8,1.2,65,5
Product 9,66.49,A must-have tech gadget,Health & Beauty,https://picsum.photos/300?random=9,2.7,55,20
Product 10,363.82,Enhances your experience with cutting-edge features,Clothing,https://picsum.photos/300?random=10,2.2,79,0
Product 11,302.96,High quality and durable,Accessories,https://picsum.photos/300?random=11,2.9,75,5
Product 12,372.76,Perfect for everyday use,Health & Beauty,https://picsum.photos/300?random=12,1.2,91,10
Product 13,423.43,Designed for comfort and performance,Health & Beauty,https://picsum.photos/300?random=13,4.2,37,15
Product 14,349.11,A must-have tech gadget,Clothing,https://picsum.photos/300?random=14,1.4,52,10
Product 15,866.95,Enhances your experience with cutting-edge features,Home & Kitchen,https://picsum.photos/300?random=15,2.7,40,10
Product 16,612.21,High quality and durable,Home & Kitchen,https://picsum.photos/300?random=16,2.3,26,20
Product 17,936.35,Perfect for everyday use,Clothing,https://picsum.photos/300?random=17,2.1,99,20
Product 18,365.43,Designed for comfort and performance,Books,https://picsum.photos/300?random=18,2.4,61,20
Product 19,333.41,A must-have tech gadget,Books,https://picsum.photos/300?random=19,1.2,17,15
Product 20,581.33,Enhances your experience with cutting-edge features,Books,https://picsum.photos/300?random=20,3.7,100,20
Product 21,750.58,High quality and durable,Books,https://picsum.photos/300?random=21,4.0,88,0
Product 22,17.44,Perfect for everyday use,Clothing,https://picsum.photos/300?random=22,4.6,90,0
Product 23,137.41,Designed for comfort and performance,Clothing,https://picsum.photos/300?random=23,3.1,82,15
Product 24,371.26,A must-have tech gadget,Home & Kitchen,https://picsum.photos/300?random=24,1.8,62,0
Product 25,206.17,Enhances your experience with cutting-edge features,Home & Kitchen,https://picsum.photos/300?random=25,2.3,30,20
Product 26,64.74,High quality and durable,Electronics,https://picsum.photos/300?random=26,3.7,39,0
Product 27,957.68,Perfect for everyday use,Accessories,https://picsum.photos/300?random=27,1.9,24,0
Product 28,757.86,Designed for comfort and performance,Electronics,https://picsum.photos/300?random=28,4.4,77,5
Product 29,644.84,A must-have tech gadget,Health & Beauty,https://picsum.photos/300?random=29,1.1,19,20
Product 30,707.07,Enhances your experience with cutting-edge features,Home & Kitchen,https://picsum.photos/300?random=30,2.3,12,10
Product 31,875.02,High quality and durable,Health & Beauty,https://picsum.photos/300?random=31,3.5,58,0
Product 32,149.63,Perfect for everyday use,Clothing,https://picsum.photos/300?random=32,1.2,27,5
Product 33,456.53,Designed for comfort and performance,Electronics,https://picsum.photos/300?random=33,2.3,12,5
Product 34,61.06,A must-have tech gadget,Home & Kitchen,https://picsum.photos/300?random=34,4.3,22,20
Product 35,187.88,Enhances your experience with cutting-edge features,Books,https://picsum.photos/300?random=35,3.3,70,5
Product 36,195.62,High quality and durable,Clothing,https://picsum.photos/300?random=36,4.5,50,0
Product 37,78.44,Perfect for everyday use,Health & Beauty,https://picsum.photos/300?random=37,2.4,47,15
Product 38,494.81,Designed for comfort and performance,Clothing,https://picsum.photos/300?random=38,2.5,82,15
Product 39,95.2,A must-have tech gadget,Books,https://picsum.photos/300?random=39,1.4,68,10
Product 40,800.14,Enhances your experience with cutting-edge features,Electronics,https://picsum.photos/300?random=40,1.4,39,15
Product 41,527.71,High quality and durable,Health & Beauty,https://picsum.photos/300?random=41,2.6,53,0
Product 42,945.09,Perfect for everyday use,Accessories,https://picsum.photos/300?random=42,1.7,81,10
Product 43,308.57,Designed for comfort and performance,Clothing,https://picsum.photos/300?random=43,2.6,100,0
Product 44,607.93,A must-have tech gadget,Electronics,https://picsum.photos/300?random=44,2.1,83,10
Product 45,382.75,Enhances your experience with cutting-edge features,Electronics,https://picsum.photos/300?random=45,2.3,26,15
Product 46,490.04,High quality and durable,Accessories,https://picsum.photos/300?random=46,4.4,13,5
Product 47,546.18,Perfect for everyday use,Accessories,https://picsum.photos/300?random=47,1.4,82,10
Product 48,751.64,Designed for comfort and performance,Home & Kitchen,https://picsum.photos/300?random=48,1.5,10,10
Product 49,31.87,A must-have tech gadget,Electronics,https://picsum.photos/300?random=49,4.1,68,20
Product 50,76.61,Enhances your experience with cutting-edge features,Health & Beauty,https://picsum.photos/300?random=50,4.0,57,5
