name,price,description,category,image_url,rating,stock_quantity,discount
Product 1,616.9,A must-have tech gadget,Health & Beauty,"https://source.unsplash.com/featured/?beauty,health",1.2,32,5
Product 2,144.56,Designed for comfort and performance,Home & Kitchen,"https://source.unsplash.com/featured/?home,kitchen",2.9,40,20
Product 3,797.46,Perfect for everyday use,Home & Kitchen,"https://source.unsplash.com/featured/?home,kitchen",2.9,98,10
Product 4,257.36,Enhances your experience with cutting-edge features,Clothing,https://source.unsplash.com/featured/?clothing,2.8,39,0
Product 5,223.49,High quality and durable,Home & Kitchen,"https://source.unsplash.com/featured/?home,kitchen",1.4,52,5
Product 6,654.04,Enhances your experience with cutting-edge features,Health & Beauty,"https://source.unsplash.com/featured/?beauty,health",1.6,21,20
Product 7,953.71,Designed for comfort and performance,Home & Kitchen,"https://source.unsplash.com/featured/?home,kitchen",4.5,64,15
Product 8,553.16,Enhances your experience with cutting-edge features,Books,https://source.unsplash.com/featured/?books,2.0,86,10
Product 9,330.33,Perfect for everyday use,Electronics,https://source.unsplash.com/featured/?electronics,4.4,21,20
Product 10,213.57,High quality and durable,Electronics,https://source.unsplash.com/featured/?electronics,1.1,99,0
Product 11,855.77,Enhances your experience with cutting-edge features,Home & Kitchen,"https://source.unsplash.com/featured/?home,kitchen",3.1,75,20
Product 12,233.9,Enhances your experience with cutting-edge features,Home & Kitchen,"https://source.unsplash.com/featured/?home,kitchen",2.5,36,0
Product 13,362.09,High quality and durable,Electronics,https://source.unsplash.com/featured/?electronics,3.4,55,10
Product 14,867.92,Enhances your experience with cutting-edge features,Home & Kitchen,"https://source.unsplash.com/featured/?home,kitchen",2.3,15,0
Product 15,963.87,Perfect for everyday use,Clothing,https://source.unsplash.com/featured/?clothing,3.1,38,10
Product 16,439.2,Enhances your experience with cutting-edge features,Books,https://source.unsplash.com/featured/?books,2.3,64,5
Product 17,282.85,Designed for comfort and performance,Books,https://source.unsplash.com/featured/?books,4.2,97,0
Product 18,32.48,Perfect for everyday use,Accessories,https://source.unsplash.com/featured/?accessories,1.7,53,20
Product 19,441.3,High quality and durable,Accessories,https://source.unsplash.com/featured/?accessories,4.6,13,20
Product 20,817.72,Designed for comfort and performance,Electronics,https://source.unsplash.com/featured/?electronics,2.8,10,0
Product 21,729.0,High quality and durable,Clothing,https://source.unsplash.com/featured/?clothing,4.7,49,0
Product 22,311.32,Perfect for everyday use,Books,https://source.unsplash.com/featured/?books,2.7,87,15
Product 23,101.94,A must-have tech gadget,Electronics,https://source.unsplash.com/featured/?electronics,1.6,82,20
Product 24,370.84,Perfect for everyday use,Books,https://source.unsplash.com/featured/?books,4.0,29,10
Product 25,573.13,A must-have tech gadget,Clothing,https://source.unsplash.com/featured/?clothing,3.8,10,5
Product 26,478.29,Designed for comfort and performance,Electronics,https://source.unsplash.com/featured/?electronics,4.3,27,0
Product 27,169.36,Perfect for everyday use,Accessories,https://source.unsplash.com/featured/?accessories,2.0,41,5
Product 28,275.94,Perfect for everyday use,Accessories,https://source.unsplash.com/featured/?accessories,3.9,31,0
